index,TYPE,YEAR,MONTH,HUNDRED_BLOCK,NEWADDRESS,lat,lon
1429,Mischief Under $5000,2013,2,5XX E CORDOVA ST,"500 E CORDOVA ST ,Vancouver, Canada",49.282155,-123.093382
1430,Mischief Under $5000,2013,2,15XX E PENDER ST,"1500 E PENDER ST ,Vancouver, Canada",49.280349,-123.074111
1431,Mischief Under $5000,2013,2,8XX W GEORGIA ST,"800 W GEORGIA ST ,Vancouver, Canada",49.283176,-123.119186
1432,Mischief Under $5000,2013,2,1XX MAIN ST,"100 MAIN ST ,Vancouver, Canada",49.283864,-123.099539
1433,Mischief Under $5000,2013,2,10XX GRANVILLE ST,"1000 GRANVILLE ST ,Vancouver, Canada",49.279265,-123.123024
1434,Mischief Under $5000,2013,2,6XX GRANVILLE ST,"600 GRANVILLE ST ,Vancouver, Canada",49.283586,-123.116467
1435,Mischief Under $5000,2013,2,9XX MAIN ST,"900 MAIN ST ,Vancouver, Canada",49.276775,-123.099779
1436,Mischief Under $5000,2013,2,53XX ELGIN ST,"5300 ELGIN ST ,Vancouver, Canada",49.237078,-123.083586
1437,Mischief Under $5000,2013,2,2XX E HASTINGS ST,"200 E HASTINGS ST ,Vancouver, Canada",49.28134,-123.099774
1438,Mischief Under $5000,2013,2,10XX HAMILTON ST,"1000 HAMILTON ST ,Vancouver, Canada",49.276913,-123.119609
1439,Mischief Under $5000,2013,2,53XX DUNDEE ST,"5300 DUNDEE ST ,Vancouver, Canada",49.236578,-123.047589
1440,Mischief Under $5000,2013,2,DUNSMUIR ST / HORNBY ST,"DUNSMUIR ST / HORNBY ST ,Vancouver, Canada",49.286266,-123.116331
1441,Mischief Under $5000,2013,2,87XX SW MARINE DR,"8700 SW MARINE DR ,Vancouver, Canada",49.207095,-123.142252
1442,Mischief Under $5000,2013,2,SEYMOUR ST / SMITHE ST,"SEYMOUR ST / SMITHE ST ,Vancouver, Canada",49.278884,-123.11921
1443,Mischief Under $5000,2013,2,10XX GRANVILLE ST,"1000 GRANVILLE ST ,Vancouver, Canada",49.279265,-123.123024
1444,Mischief Under $5000,2013,2,7XX DUNSMUIR ST,"700 DUNSMUIR ST ,Vancouver, Canada",49.283553,-123.116405
1445,Mischief Under $5000,2013,2,23XX VANNESS AVE,"2300 VANNESS AVE ,Vancouver, Canada",49.248985,-123.05799
1446,Mischief Under $5000,2013,2,19XX E BROADWAY AVE,"1900 E BROADWAY AVE ,Vancouver, Canada",49.26224,-123.065301
1447,Mischief Under $5000,2013,2,13XX KINGSWAY AVE,"1300 KINGSWAY AVE ,Vancouver, Canada",49.336331,-123.15145
1448,Mischief Under $5000,2013,2,4XX W 8TH AVE,"400 W 8TH AVE ,Vancouver, Canada",49.263937,-123.112837
1449,Mischief Under $5000,2013,2,4XX ABBOTT ST,"400 ABBOTT ST ,Vancouver, Canada",49.282013,-123.107182
1450,Mischief Under $5000,2013,2,83XX FREMLIN ST,"8300 FREMLIN ST ,Vancouver, Canada",49.210694,-123.127378
1451,Mischief Under $5000,2013,2,3XX E HASTINGS ST,"300 E HASTINGS ST ,Vancouver, Canada",49.281302,-123.097474
1452,Mischief Under $5000,2013,2,24XX CYPRESS ST,"2400 CYPRESS ST ,Vancouver, Canada",49.264612,-123.148097
1453,Mischief Under $5000,2013,2,1XX SMITHE ST,"100 SMITHE ST ,Vancouver, Canada",49.276335,-123.115283
1454,Mischief Under $5000,2013,2,CAMBIE ST / W HASTINGS ST,"CAMBIE ST / W HASTINGS ST ,Vancouver, Canada",49.282641,-123.10976
1455,Mischief Under $5000,2013,2,6XX GLEN DR,"600 GLEN DR ,Vancouver, Canada",49.278979,-123.081338
1456,Mischief Under $5000,2013,2,11XX W GEORGIA ST,"1100 W GEORGIA ST ,Vancouver, Canada",49.285728,-123.123119
1457,Mischief Under $5000,2013,2,31XX E 54TH AVE,"3100 E 54TH AVE ,Vancouver, Canada",49.220156,-123.041307
1458,Mischief Under $5000,2013,2,9XX MAIN ST,"900 MAIN ST ,Vancouver, Canada",49.276775,-123.099779
1459,Mischief Under $5000,2013,2,3XX ALEXANDER ST,"300 ALEXANDER ST ,Vancouver, Canada",49.284067,-123.097836
1460,Mischief Under $5000,2013,2,E 33RD AVE / MAIN ST,"E 33RD AVE / MAIN ST ,Vancouver, Canada",43.995521,-70.777977
1461,Mischief Under $5000,2013,2,3XX E HASTINGS ST,"300 E HASTINGS ST ,Vancouver, Canada",49.281302,-123.097474
1462,Mischief Under $5000,2013,2,33XX ANZIO DR,"3300 ANZIO DR ,Vancouver, Canada",49.252301,-123.03375
1463,Mischief Under $5000,2013,2,14XX COMMERCIAL DR,"1400 COMMERCIAL DR ,Vancouver, Canada",49.272136,-123.069568
1464,Mischief Under $5000,2013,2,23XX PRINCE ALBERT ST,"2300 PRINCE ALBERT ST ,Vancouver, Canada",49.264316,-123.087144
1465,Mischief Under $5000,2013,2,8XX HOMER ST,"800 HOMER ST ,Vancouver, Canada",49.279601,-123.116709
1466,Mischief Under $5000,2013,2,29XX W 28TH AVE,"2900 W 28TH AVE ,Vancouver, Canada",49.247039,-123.170179
1467,Mischief Under $5000,2013,2,19XX E 41ST AVE,"1900 E 41ST AVE ,Vancouver, Canada",49.232568,-123.066977
1468,Mischief Under $5000,2013,2,6XX E 61ST AVE,"600 E 61ST AVE ,Vancouver, Canada",49.214843,-123.092625
1469,Mischief Under $5000,2013,2,11XX VERNON DR,"1100 VERNON DR ,Vancouver, Canada",49.274728,-123.07864
1470,Mischief Under $5000,2013,2,7XX NATIONAL AVE,"700 NATIONAL AVE ,Vancouver, Canada",49.27359,-123.092703
1471,Mischief Under $5000,2013,2,33XX E 58TH AVE,"3300 E 58TH AVE ,Vancouver, Canada",49.217071,-123.035932
1472,Mischief Under $5000,2013,2,12XX E HASTINGS ST,"1200 E HASTINGS ST ,Vancouver, Canada",49.281074,-123.079171
1473,Mischief Under $5000,2013,2,1XX E PENDER ST,"100 E PENDER ST ,Vancouver, Canada",49.280473,-123.10216
1474,Mischief Under $5000,2013,2,OAK ST / W 15TH AVE,"OAK ST / W 15TH AVE ,Vancouver, Canada",49.257622,-123.108348
1475,Mischief Under $5000,2013,2,32XX E 14TH AVE,"3200 E 14TH AVE ,Vancouver, Canada",49.257231,-123.03654
1476,Mischief Under $5000,2013,2,32XX QUEBEC ST,"3200 QUEBEC ST ,Vancouver, Canada",49.256606,-123.103243
1477,Mischief Under $5000,2013,2,8XX GRANVILLE ST,"800 GRANVILLE ST ,Vancouver, Canada",49.279222,-123.12295
1478,Mischief Under $5000,2013,2,86XX OSLER ST,"8600 OSLER ST ,Vancouver, Canada",49.2085,-123.131604
1479,Mischief Under $5000,2013,2,33XX MAIN ST,"3300 MAIN ST ,Vancouver, Canada",49.255683,-123.101267
1480,Mischief Under $5000,2013,2,3XX N WINDERMERE ST,"300 N WINDERMERE ST ,Vancouver, Canada",49.28845,-123.037662
1481,Mischief Under $5000,2013,2,3XX CARRALL ST,"300 CARRALL ST ,Vancouver, Canada",49.282508,-123.104293
1482,Mischief Under $5000,2013,2,1XX E PENDER ST,"100 E PENDER ST ,Vancouver, Canada",49.280473,-123.10216
1483,Mischief Under $5000,2013,2,67XX DOMAN ST,"6700 DOMAN ST ,Vancouver, Canada",49.222844,-123.036731
1484,Mischief Under $5000,2013,2,11XX W 71ST AVE,"1100 W 71ST AVE ,Vancouver, Canada",49.206934,-123.131574
1485,Theft From Auto Over  $5000,2013,2,85XX STANLEY PARK DR,"8500 STANLEY PARK DR ,Vancouver, Canada",49.295867,-123.150065
1486,Theft From Auto Over  $5000,2013,2,7XX W GEORGIA ST,"700 W GEORGIA ST ,Vancouver, Canada",49.282553,-123.118174
1487,Theft From Auto Over  $5000,2013,2,11XX GILFORD ST,"1100 GILFORD ST ,Vancouver, Canada",49.289234,-123.141945
1488,Theft From Auto Over  $5000,2013,2,9XX STANLEY PARK DR,"900 STANLEY PARK DR ,Vancouver, Canada",49.29648,-123.127805
1489,Theft From Auto Over  $5000,2013,2,22XX CYPRESS ST,"2200 CYPRESS ST ,Vancouver, Canada",49.266534,-123.148035
1490,Theft From Auto Over  $5000,2013,2,14XX QUEBEC ST,"1400 QUEBEC ST ,Vancouver, Canada",49.273187,-123.101604
1491,Theft From Auto Over  $5000,2013,2,56XX STANLEY PARK DR,"5600 STANLEY PARK DR ,Vancouver, Canada",49.312189,-123.142848
1492,Theft From Auto Over  $5000,2013,2,14XX LABURNUM ST,"1400 LABURNUM ST ,Vancouver, Canada",49.273507,-123.151378
1493,Theft From Auto Over  $5000,2013,2,8XX AVISON WAY,"800 AVISON WAY ,Vancouver, Canada",49.300384,-123.130357
1494,Theft From Auto Over  $5000,2013,2,14XX E 20TH AVE,"1400 E 20TH AVE ,Vancouver, Canada",49.252601,-123.075719
1495,Theft From Auto Over  $5000,2013,2,7XX W GEORGIA ST,"700 W GEORGIA ST ,Vancouver, Canada",49.282553,-123.118174
1496,Theft From Auto Over  $5000,2013,2,ABBOTT ST / W CORDOVA ST,"ABBOTT ST / W CORDOVA ST ,Vancouver, Canada",49.283287,-123.108716
1497,Theft From Auto Over  $5000,2013,2,6XX ABBOTT ST,"600 ABBOTT ST ,Vancouver, Canada",49.27996,-123.107839
1498,Theft From Auto Under $5000,2013,2,10XX EXPO BLVD,"1000 EXPO BLVD ,Vancouver, Canada",49.274891,-123.115918
1499,Theft From Auto Under $5000,2013,2,15XX MATTHEWS AVE,"1500 MATTHEWS AVE ,Vancouver, Canada",49.253081,-123.139297
1500,Theft From Auto Under $5000,2013,2,8XX SEYMOUR ST,"800 SEYMOUR ST ,Vancouver, Canada",49.280697,-123.118831
1501,Theft From Auto Under $5000,2013,2,23XX BONACCORD DR,"2300 BONACCORD DR ,Vancouver, Canada",49.21054,-123.059742
1502,Theft From Auto Under $5000,2013,2,26XX HEATHER ST,"2600 HEATHER ST ,Vancouver, Canada",49.262541,-123.119903
1503,Theft From Auto Under $5000,2013,2,11XX W BROADWAY AVE,"1100 W BROADWAY AVE ,Vancouver, Canada",49.263455,-123.128995
1504,Theft From Auto Under $5000,2013,2,COLLINGWOOD ST / W 41ST AVE,"COLLINGWOOD ST / W 41ST AVE ,Vancouver, Canada",49.233379,-123.112727
1505,Theft From Auto Under $5000,2013,2,42XX MUSQUEAM DR,"4200 MUSQUEAM DR ,Vancouver, Canada",49.228664,-123.200118
1506,Theft From Auto Under $5000,2013,2,MAIN ST / TERMINAL AVE,"MAIN ST / TERMINAL AVE ,Vancouver, Canada",49.272875,-123.101052
1507,Theft From Auto Under $5000,2013,2,43XX MAIN ST,"4300 MAIN ST ,Vancouver, Canada",50.117022,-122.9577
1508,Theft From Auto Under $5000,2013,2,73XX HUMM ST,"7300 HUMM ST ,Vancouver, Canada",49.218049,-123.063277
1509,Theft From Auto Under $5000,2013,2,73XX MUIRFIELD DR,"7300 MUIRFIELD DR ,Vancouver, Canada",49.217637,-123.055808
1510,Theft From Auto Under $5000,2013,2,72XX ELMHURST DR,"7200 ELMHURST DR ,Vancouver, Canada",49.21854,-123.047559
1511,Theft From Auto Under $5000,2013,2,CITADEL PRDE / REGIMENT SQ,"CITADEL PRDE / REGIMENT SQ ,Vancouver, Canada",49.278464,-123.11015
1512,Theft From Auto Under $5000,2013,2,66XX DAWSON ST,"6600 DAWSON ST ,Vancouver, Canada",49.223624,-123.048838
1513,Theft From Auto Under $5000,2013,2,67XX DAWSON ST,"6700 DAWSON ST ,Vancouver, Canada",49.222766,-123.048884
1514,Theft From Auto Under $5000,2013,2,23XX BONACCORD DR,"2300 BONACCORD DR ,Vancouver, Canada",49.21054,-123.059742
1515,Theft From Auto Under $5000,2013,2,20XX W 42ND AVE,"2000 W 42ND AVE ,Vancouver, Canada",49.23354,-123.151868
1516,Theft From Auto Under $5000,2013,2,68XX DAWSON ST,"6800 DAWSON ST ,Vancouver, Canada",49.222047,-123.048923
1517,Theft From Auto Under $5000,2013,2,20XX E 40TH AVE,"2000 E 40TH AVE ,Vancouver, Canada",49.233918,-123.064932
1518,Theft From Auto Under $5000,2013,2,25XX E 22ND AVE,"2500 E 22ND AVE ,Vancouver, Canada",49.25061,-123.054621
1519,Theft From Auto Under $5000,2013,2,HAMILTON ST / W PENDER ST,"HAMILTON ST / W PENDER ST ,Vancouver, Canada",49.280553,-123.104695
